Question,Topic
Write characteristics of a good data model.,General
Write disadvantages of Data analysis.,General
Explain Collaborative Filtering.,Data Science
What do you mean by Time Series Analysis? Where is it used?,General
What do you mean by clustering algorithms? Write different properties of clustering algorithms?,General
What is a Pivot table? Write its usage.,General
"What do you mean by univariate, bivariate, and multivariate analysis?",General
Explain Hierarchical clustering.,Data Science
Name some popular tools used in big data.,Data Engineering
What do you mean by logistic regression?,General
What do you mean by the K-means algorithm?,General
Write the difference between variance and covariance.,General
What are the advantages of using version control?,General
Explain N-gram,Data Science
Mention some of the statistical techniques that are used by Data analysts.,General
What's the difference between a data lake and a data warehouse?,General
What is Maven's inheritance order?,General
Discuss the core concepts of Maven.,General
How does Maven work?,General
List a few differences between Maven and ANT.,General
What elements are used for creating a pom.xml file?,General
What are the different types of Maven repositories? Discuss.,General
What command should one use to install JAR files in the Local Repository?,General
"In Maven, what do you mean by Clean, Default, and Site?",General
What are the different phases of the default life cycle?,General
What are Maven plugins used for? What are the types of Maven plugins?,General
“Maven uses convention over configuration” - Why is it so?,General
When should one use Maven?,General
"In Maven, what is a snapshot?",General
What are the locations where Maven dependencies are stored?,General
What are the different types of Maven build profiles? In what ways can build profiles of maven be activated?,General
How would you refer to a property declared in your pom.xml file?,General
How to generate javadocs in Maven?,Java
What exactly is MOJO?,General
What do you understand about the term ‘Super POM’?,General
What is a 'Dependency Scope'? What are the different types of Dependency Scopes?,General
Discuss the profile element in settings.xml file.,General
What are the phases of the clean lifecycle?,General
What are the phases of the site lifecycle?,General
"Explain the three commonly used plugins: clean, surefire, antrun.",Data Science
What is the settings.xml file in Maven?,General
What is dependency mediation and dependency management?,General
What do you mean by the term “system dependency”?,General
What is the use of an Optional Dependency?,General
What do you understand about ‘Transitive Dependency’ in Maven? What is dependency exclusion?,General
What are the elements that must be defined for each external dependency?,General
What are user-defined properties?,General
What command is used to create a new project from a hard drive?,General
What is maven-release plugin and how does it work?,General
Why are exclusions made on a dependency-by-dependency basis instead of at the POM level?,General
Explain the default and the advanced configuration inheritance.,Data Science
Explain Project Aggregation.,Data Science
What is the use of the Maven Wagon plugin?,General
How is Doxia used by Maven?,General
How will you run JUnit tests in parallel with a Maven build?,General
How can you skip running the tests for a particular project?,General
What is the difference between the maven package and the maven install?,General
What do you mean by a Maven Archetype? How will you create a new project based on an Archetype?,General
"How will you modify a linked list of integers so that all even numbers appear before all odd numbers in the modified linked list? Also, keep the even and odd numbers in the same order.",General
A given linked list is sorted based on absolute values. Write a function to sort the list based on actual values in O(n) time.,General
"Given a linked list and a number n, you have to find the sum of the last n nodes of the linked list in a single traversal. Explain your approach in brief.",Data Science
How will you find the middle element of a singly linked list without iterating the list more than once?,General
"A linked list of coordinates is given, with neighboring points forming either a vertical or horizontal line. Remove points in between the starting and ending points of the horizontal or vertical line from the linked list.",General
Construct a doubly linked list out of a ternary tree.,General
The task is to determine pairs in a doubly-linked list whose sum equals the provided value ‘val’ without consuming any extra space for a given sorted doubly-linked list of positive distinct entries. The expected complexities are O(n) time and O(1) space.,Data Science
Given a 2-D matrix. You need to convert it into a linked list matrix such that each node is linked to its next right and down node and display it.,General
Extract all leaves from a Binary Tree into a Doubly Linked List (DLL).,General
Write a program to delete all odd positioned nodes from a circular linked list. (Consider 1-based indexing).,General
Why is merge sort a better option than quicksort for linked lists?,General
What algorithm will you implement to find similar elements from two Linked Lists given and return the result in the form of a Linked List? Assume there are no duplicates.,General
How will you remove a cycle from a linked list?,General
How will you convert a binary tree into a doubly-linked list?,General
Given a linked list with each node representing a linked list and two pointers of its type given below. You need to flatten the lists into a single linked list. The flattened linked list also needs to be sorted. Discuss the approach.,General
"In a standard Doubly Linked List, two address fields are required to contain the addresses of previous and next nodes. Can you create a doubly linked list using only one space for the address field with every node?",Data Science
"Given a singly linked list with an additional ""arbitrary"" pointer at each node that currently points to NULL. What algorithm will you implement to make the ""arbitrary"" pointer point to the next node with a greater value?",General
"Given a linked list, find the length of the longest palindrome list that appears in that linked list using O(1) extra space.",General
Given a value x and a sorted doubly linked list of different nodes (no two nodes have the same data). Count the number of triplets in the list that add up to x. The expected time complexity is O(n^2) and the expected space complexity is O(1).,General
Let's say there are two lists of varying lengths that merge at a certain point; how do we know where the merging point is?,Data Science
"Given two polynomial expressions represented by linked lists. You need to write a function that adds these lists, that is, adds the coefficients that have the same variable powers.",General
How will you find the length of a linked list which contains a cycle?,Data Science
What is Pattern Matching in SQL?,SQL
How to create empty tables with the same structure as another table?,General
What is a Recursive Stored Procedure?,General
What is a Stored Procedure?,General
What is Collation? What are the different types of Collation Sensitivity?,General
What are the differences between OLTP and OLAP?,General
What is OLTP?,General
What is User-defined function? What are its various types?,General
What is a UNIQUE constraint?,Data Science
What is a Query?,General
What is Data Integrity?,General
What is the difference between Clustered and Non-clustered index?,General
What is an Index? Explain its different types.,Data Science
What is a Cross-Join?,General
What is a Self-Join?,General
What is a Join? List its different types.,General
What is a Foreign Key?,General
What is a Subquery? What are its types?,General
What is a Primary Key?,General
What are Constraints in SQL?,Data Science
What are Tables and Fields?,General
What is the difference between SQL and MySQL?,SQL
What is SQL?,SQL
What is RDBMS? How is it different from DBMS?,General
What is DBMS?,General
What is Database?,SQL
What is the SELECT statement?,General
What are some common clauses used with SELECT query in SQL?,SQL
"What are UNION, MINUS and INTERSECT commands?",General
What is Cursor? How to use a Cursor?,General
What are Entities and Relationships?,General
List the different types of relationships in SQL.,SQL
What is an Alias in SQL?,SQL
What is a View?,General
What is Normalization?,General
What is Denormalization?,General
What are the various forms of Normalization?,General
"What are the TRUNCATE, DELETE and DROP statements?",General
What is the difference between DROP and TRUNCATE statements?,General
What is the difference between DELETE and TRUNCATE statements?,General
What are Aggregate and Scalar functions?,General
What is PostgreSQL?,SQL
What is the capacity of a table in PostgreSQL?,SQL
What is the importance of the TRUNCATE statement?,General
Define tokens in PostgreSQL?,SQL
What are partitioned tables called in PostgreSQL?,SQL
"How can we start, restart and stop the PostgreSQL server?",SQL
What is the command used for creating a database in PostgreSQL?,SQL
How will you change the datatype of a column?,General
How do you define Indexes in PostgreSQL?,SQL
Define sequence.,General
What are string constants in PostgreSQL?,SQL
How can you get a list of all databases in PostgreSQL?,SQL
How can you delete a database in PostgreSQL?,SQL
What are ACID properties? Is PostgreSQL compliant with ACID?,SQL
Can you explain the architecture of PostgreSQL?,Data Science
What do you understand by multi-version concurrency control?,General
What do you understand by command enable-debug?,General
How do you check the rows affected as part of previous transactions?,General
What can you tell about WAL (Write Ahead Logging)?,General
What is the main disadvantage of deleting data from an existing table using the DROP TABLE command?,Data Science
How do you perform case-insensitive searches using regular expressions in PostgreSQL?,SQL
How will you take backup of the database in PostgreSQL?,SQL
Does PostgreSQL support full text search?,SQL
What are parallel queries in PostgreSQL?,SQL
Differentiate between commit and checkpoint.,General
What is SSIS?,General
What is an SSIS task?,General
What are packages in SSIS?,General
What do you understand by SSIS expressions?,General
Define Manifest file.,General
Differentiate between SSIS and Informatica.,General
What is data transformation in SSIS?,General
Define SSIS Catalog. Is it possible to deploy user-defined packages in the catalog?,General
What is SSIS Container?,Data Science
"In SSIS, what are the variable types that can be created?",General
Define SSIS Checkpoint.,General
Define Precedence Constraint.,Data Science
What are SSIS Connection Managers?,General
How are SSIS Packages more advantageous than stored procedures?,General
Define conditional split transformations.,General
What are Process Bytes in SSIS?,General
What are the disadvantages of SSIS?,General
How is error handling done in SSIS?,General
Is it possible to log SSIS execution?,General
What will you do if a package runs fine in BIDS but fails while running from the SQL agent job?,Data Science
How will you add a recordset variable inside Script Task?,General
How do you store SQL passwords? Does the SSIS connection manager of the package store SQL password?,SQL
Explain the importance of config files in SSIS.,Data Science
What is SSIS event logging property?,General
What are the components that would be used to send data from the access database to the SQL database on the off chance?,SQL
What is SSIS breakpoint?,General
Is it possible to schedule packages for a specific time period of a day?,General
How many lookup cache modes are present in SSIS?,General
What does the data profiling task do?,General
Explain the types of SSIS containers.,Data Science
Difference between Merge Transformation and Union all transformations.,General
Define Data Flow in SSIS.,General
How is the deployment utility created in SSIS?,General
What does it mean if a replica is not an In-Sync Replica for a long time?,General
What are the traditional methods of message transfer? How is Kafka better from them?,Data Engineering
What are the major components of Kafka?,Data Engineering
Explain the four core API architecture that Kafka uses.,Data Science
What do you mean by a Partition in Kafka?,Data Engineering
What do you mean by zookeeper in Kafka and what are its uses?,Data Engineering
Can we use Kafka without Zookeeper?,Data Engineering
Explain the concept of Leader and Follower in Kafka.,Data Science
Why is Topic Replication important in Kafka? What do you mean by ISR in Kafka?,Data Engineering
What do you understand about a consumer group in Kafka?,Data Engineering
What is the maximum size of a message that Kafka can receive?,Data Engineering
What are some of the features of Kafka?,Data Engineering
How do you start a Kafka server?,Data Engineering
What do you mean by geo-replication in Kafka?,Data Engineering
What are some of the disadvantages of Kafka?,Data Engineering
Tell me about some of the real-world usages of Apache Kafka.,Data Engineering
What are the use cases of Kafka monitoring?,Data Engineering
What do you mean by Kafka schema registry?,Data Engineering
What are the benefits of using clusters in Kafka?,Data Engineering
Describe partitioning key in Kafka.,Data Engineering
What is the purpose of partitions in Kafka?,Data Engineering
Tell me about some of the use cases where Kafka is not suitable.,Data Engineering
What is a Replication Tool in Kafka? Explain some of the replication tools available in Kafka.,Data Science
Differentiate between Rabbitmq and Kafka.,Data Engineering
What are the parameters that you should look for while optimising kafka for optimal performance?,Data Engineering
Differentiate between Redis and Kafka.,Data Engineering
Describe in what ways Kafka enforces security.,Data Engineering
Differentiate between Kafka and Java Messaging Service(JMS).,Java
What do you understand about Kafka MirrorMaker?,Data Engineering
Differentiate between Kafka and Flume.,Data Engineering
What do you mean by confluent kafka? What are its advantages?,Data Engineering
Describe message compression in Kafka. What is the need of message compression in Kafka? Also mention if there are any disadvantages of it.,Data Engineering
What do you mean by multi-tenancy in Kafka?,Data Engineering
What do you understand about log compaction and quotas in Kafka?,Data Engineering
What are the guarantees that Kafka provides?,Data Engineering
What do you mean by an unbalanced cluster in Kafka? How can you balance it?,Data Engineering
How will you expand a cluster in Kafka?,Data Engineering
What do you mean by graceful shutdown in Kafka?,Data Engineering
Can the number of partitions for a topic be changed in Kafka?,Data Engineering
What do you mean by BufferExhaustedException and OutOfMemoryException in Kafka?,Data Engineering
How will you change the retention time in Kafka at runtime?,Data Engineering
Differentiate between Kafka streams and Spark Streaming.,Data Engineering
What are Znodes in Kafka Zookeeper? How many types of Znodes are there?,Data Engineering
Explain what you mean by Port-group.,Data Science
Explain the different types of virtualization available.,Data Science
Explain VMKernel and its importance.,Data Science
Write four core elements of the VMkernel networking layer.,General
What do you mean by Hypervisor? Write its type.,General
What do you mean by ESXi?,General
Explain NFS and VMFS.,Data Science
Explain the .vmdk file.,Data Science
Name some of the VMware products.,General
What are the VMware components?,General
Explain VMware DRS.,Data Science
What is the importance of virtualization?,General
Write three port-groups that are configured in ESXi networking.,General
Explain iSCSI storage.,Data Science
What is the meaning of VVol?,General
Explain Cluster.,Data Science
Explain cold and hot migration?,Data Science
What is VDI?,General
How many CPUs can be used for a VM in FT in vSphere 7.0?,General
Explain FT logging traffic.,Data Science
What is the difference between vSphere and vCenter?,General
Will FT (Fault Tolerance) work if the vCenter server goes down?,General
What is the use of vMotion?,General
What will happen if vMotion fails?,Data Science
Explain Promiscuous mode.,Data Science
"There are several features such as DRS (Distributed Resource Scheduler), SMP (Symmetric Multi-Processing), VMotion, etc., but why do we need ‘HA’?",General
What is the importance of snapshots in VMware?,General
What are vSS and vDS?,General
What do you mean by VMware HA and VMware FT? Difference between them.,General
What do you mean by vCloud Suite?,General
Why use VMware Workstation?,General
Why use virtual machines instead of original hardware?,General
What is the major advantage of VM running under a type 1 hypervisor than type 2 hypervisor?,General
What do you mean by RDM?,General
What is clone and template in VMware? Differentiate between them.,General
VMware Interview Preparation,General
How many rounds are there in VMware Interview?,General
How to get a job in VMware?,General
How long does the offer process take at VMware?,General
Why do you want to join VMware?,General
Is VMware Interview hard?,General
What is the role of VMware admin?,General
Explain about the “when” keyword in the context of Kotlin.,Data Science
What are the advantages of Kotlin over Java?,Java
What are the various data types available in Kotlin? Explain them.,Data Science
Differentiate between open and public keywords in Kotlin.,General
What do you understand about Companion Object in the context of Kotlin?,General
What do you understand about function extension in the context of Kotlin? Explain.,Data Science
How can you concatenate two strings in Kotlin?,General
Explain the various methods to iterate over any data structure in Kotlin with examples.,Data Science
What are the different types of constructors available in Kotlin? Explain them with proper examples.,Data Science
Differentiate between Kotlin and Java.,Java
"Explain Safe call,  Elvis and Not Null Assertion operator in the context of Kotlin.",Data Science
Explain the concept of null safety in Kotlin.,Data Science
What are data classes in Kotlin? Explain with a proper example.,Data Science
How are variables declared in Kotlin? What are the different types of variables in Kotlin? Explain with examples.,Data Science
What are some of the disadvantages of Kotlin?,General
Differentiate between launch / join and async / await in Kotlin.,Data Science
What do you understand about the backing field in Kotlin?,General
What do you understand about sealed classes in Kotlin?,General
Explain suspend function in the context of Kotlin.,Data Science
Explain scope functions in the context of Kotlin. What are the different types of Scope functions available in Kotlin?,Data Science
What do you understand about coroutines in the context of Kotlin?,General
Differentiate between lateinit and lazy initialisation. Explain the cases when you should use lateinit and when you should use lazy initialisation.,Data Science
Explain lazy initialization in the context of Kotlin.,Data Science
What do you understand about lateinit in Kotlin? When would you consider using it?,General
Which one is better to use - val mutableList or var immutableList in the context of Kotlin?,General
What is Deep Learning?,Data Science
What are the Applications of deep learning?,Data Science
What are Neural Networks?,General
What are the advantages of neural networks?,General
What are the disadvantages of neural networks?,General
Explain learning rate in the context of neural network models. What happens if the learning rate is too high or too low?,Data Science
Explain what a deep neural network is.,Data Science
What are the different types of deep neural networks?,General
What do you mean by end-to-end learning?,General
What do you understand about gradient clipping in the context of deep learning?,Data Science
Explain Forward and Back Propagation in the context of deep learning.,Data Science
Explain Data Normalisation. What is the need for it?,Data Science
What are the different techniques to achieve data normalization?,General
What do you mean by hyperparameters in the context of deep learning?,Data Science
Difference between multi-class and multi-label classification problems.,General
Explain transfer learning in the context of deep learning.,Data Science
What are the advantages of transfer learning?,General
"Is it possible to train a neural network model by setting all biases to 0? Also, is it possible to train a neural network model by setting all of the weights to 0?",Data Science
What is a tensor in deep learning?,Data Science
Explain the difference between a shallow network and a deep network.,Data Science
"In a Convolutional Neural Network (CNN), how can you fix the constant validation accuracy?",General
Explain Batch Gradient Descent.,Data Science
Explain  Stochastic Gradient Descent. How is it different from Batch Gradient Descent?,Data Science
Which deep learning algorithm is the best for face detection?,Data Science
What is an activation function? What is the use of an activation function?,General
What do you mean by an epochs in the context of deep learning?,Data Science
Explain the different types of activation functions.,Data Science
Differentiate between Deep Learning and Machine Learning.,Data Science
What do you know about Dropout?,General
Mention the applications of autoencoders.,General
What are autoencoders? Explain the different layers of autoencoders.,Data Science
What exactly do you mean by exploding and vanishing gradients?,General
How does Recurrent Neural Network backpropagation vary from Artificial Neural Network backpropagation?,General
Differentiate between bias and variance in the context of deep learning models. How can you achieve balance between the two?,Data Science
"According to you, which one is more powerful - a two layer neural network without any activation function or a two layer decision tree?",General
Can a deep learning model be solely built on linear regression?,Data Science
"While building a neural network architecture, how will you decide how many neurons and the hidden layers should the neural network have?",General
How do you access history of requests in Postman?,General
What is digest auth in Postman?,General
What is a collection in Postman?,General
Why do we use Postman?,General
How will you log variable values in Postman?,General
How do you access postman variables?,General
What are the various authorization methods provided by Postman?,General
What are the different types of API requests supported in Postman?,General
How are Query Params different from Path Variables?,General
What is Basic Auth in Postman?,General
What is Postman?,General
What encoding is accepted by Postman in authorization credentials?,General
Can we have the same names for global variables in postman?,General
What do you know about postman monitor?,General
What is a binary form in POST methods?,General
What are the limitations of Postman?,General
How can you save the responses of API to a file in Postman?,General
What is the significance of 301 status code?,General
Does Postman provide a feature to log requests and responses?,General
Why is Base64 encoding primarily used in Postman?,General
What is the purpose of the 304 status code?,General
Is it preferable to save our work on Postman Cloud?,General
What are the various variable scopes provided by Postman?,General
Is it possible to reuse the authentication token for multiple requests?,General
How do you write test cases for basic authentication in Postman?,General
How do you set the same headers for all requests in a Postman Collection?,General
What are workspaces in Postman? What are their uses?,General
How will you stop the execution of upcoming requests or execution of the collections?,General
What do you understand by the pre-request script?,General
How can we use Custom Javascript libraries in our scripts with an example?,Java
"If we have a global and a local variable of the same name, which one will be given the most preference in Postman?",General
Does Postman allow flexibility to make use of the command-line?,General
How will you generate random numbers of a given range in Postman?,General
What do you understand by Scratch Pad?,General
How do you get the cURL command based on the details of REST API obtained from Postman?,Data Science
What do you mean by replication?,General
What do you mean by BLE (Bluetooth Low Energy)?,General
What are the different components of IoT?,Miscellaneous
What are the advantages of IoT?,Miscellaneous
What are the challenges or risks associated with IoT?,Miscellaneous
What are different types of sensors in IoT?,Miscellaneous
What are different layers of the IoT protocol stack? Write the classification of IoT protocols.,Miscellaneous
What are different communication models in IoT?,Behavioral
Write some of the most common IoT applications.,Miscellaneous
Explain how IoT works.,Data Science
Explain the characteristics of IoT.,Data Science
What is a thermocouple sensor?,General
Explain the term ‘smart city’ in IoT.,Data Science
What do you mean by PWM (Pulse Width Modulation)?,General
Explain Shodan.,Data Science
What do you mean by IoT Contiki?,Miscellaneous
Name some of the most suitable databases for IoT.,SQL
Explain sharding.,Data Science
What do you mean by Raspberry Pi?,General
State the difference between IoT and M2M.,Miscellaneous
What do you mean by IoT Gateway? What is the role of a gateway in IoT?,Miscellaneous
Explain WoT (Web of Things).,Data Science
What do you mean by MQTT (Message Queue Telemetry Transport Protocol)?,General
Explain Bluegiga APX4 protocol.,Data Science
What is IoT device management and why do we need it?,Miscellaneous
State the difference between IoT and IIoT.,Miscellaneous
Explain the meaning of Arduino.,Data Science
Explain sketch in Arduino and how will you reduce the size of sketch.,Data Science
What is GPIO (General Purpose Input/Output)?,General
State different between Arduino and Raspberry Pi.,General
State difference between IoT and WSN (Wireless Sensor Network)?,Miscellaneous
Explain IoT GE-PREDIX.,Data Science
Name some of the wearable Arduino Boards.,General
Explain IoT asset tracking.,Data Science
What do you mean by “Thingful”?,General
What is Database Testing?,SQL
What do you understand by data-driven testing?,Testing
What do you understand about Trigger Testing?,Testing
What is Database Stress Testing?,SQL
What do you understand by database transactions?,SQL
What do you understand by Keys and indexes Testing?,Testing
What do you understand by Non-functional testing in terms of database testing?,SQL
What would be the SQL statements used for managing and manipulating the test tables?,SQL
What do you understand by validation of ACID properties in database testing?,SQL
What do you understand by retesting and how is it different from data-driven testing?,Testing
Explain with an example how you can test the database manually?,Data Science
How do you validate whether the database table has been updated after you enter data from the front-end application?,SQL
How is stored procedure testing done?,Testing
How will you know if a trigger is fired or not at the time of database testing?,SQL
What are the different SQL statements that can be used for database testing?,SQL
Why do you think database testing is important in the field of software testing?,SQL
Write the step-by-step process to test the database?,SQL
What is structural database testing?,SQL
How do you test the database triggers and procedures?,SQL
What are the possible test scenarios that need to be tested when a database gets migrated from one SQL server to another?,SQL
Why are SQL constraints used in a database?,Data Science
How will you perform data load testing?,Testing
How can you test Transactions in SQL Databases?,SQL
How can you validate the ACID properties? Explain with an example.,Data Science
How can you test the data integrity in database testing?,SQL
What are the most commonly occurring issues that are faced during database testing and how can they be solved?,SQL
What are the best practices that need to be followed while performing database testing?,SQL
How can you validate the tables and columns in the database?,SQL
How do you check for an error in a stored procedure consisting of 1000s of lines of code?,General
Is it possible to have multiple primary keys in a table?,General
How will you fetch the values from TableA that are not present in TableB without using the NOT keyword?,General
What are the differences between GUI Testing and Database Testing?,SQL
Show with an example how reducers are used in Redux.,General
Is it necessary to keep all the component states in the Redux store?,General
What is Flux?,General
Difference between Redux and Flux.,General
What is Redux in React js?,JavaScript
State the core principles of Redux.,General
What are the advantages of using Redux?,General
Is it true that Redux can only be used with React?,JavaScript
What do you understand about Redux Toolkit?,General
What are some of the major features of Redux DevTools?,General
What is Redux?,General
Highlight the key differences between mapStateToProps() and mapDispatchToProps()?,General
What do you understand by an action in Redux's architecture?,General
Give an example of the usage of Actions in Redux's architecture.,General
Where can we use Redux?,General
What are constants in Redux?,General
Show using code how constants can be used in Redux.,General
What are reducers in Redux's architecture?,General
Differentiate between Relay and Redux.,General
Explain the typical data flow in an application made using React and Redux (Redux Lifecycle for an application).,Data Science
What is the mental model of redux saga?,General
"Describe what is meant by a ""store"" in Redux.",General
Name all the Redux Store methods.,General
Give an example depicting the usage of a Redux store.,General
Explain with an example how to set the initial state in Redux.,Data Science
What do you understand about Redux Thunk?,General
What are the workflow features in Redux?,General
How can we use connect from react redux?,JavaScript
What are Redux forms? What are its major features?,General
How can we structure the top level directories in Redux?,General
How can we access a redux store outside a react component?,JavaScript
Differentiate between React Redux and React's Context API.,JavaScript
What do you understand about the Redux Saga?,General
What are the things which we should never do inside a reducer?,General
How can the addition of multiple middlewares to Redux be done?,General
What is Spring security authentication and authorization?,General
What do you mean by digest authentication?,General
What are some essential features of Spring Security?,General
What do you mean by basic authentication?,General
Is security a cross-cutting concern?,General
Explain AbstractSecurityInterceptor in spring security?,Data Science
What is PasswordEncoder?,General
Explain salting and its usage.,Data Science
What do you mean by HASHING in spring security?,General
What is method security and why do we need it?,General
What do you mean by OAuth2 Authorization code grant type?,General
Explain spring security OAuth2.,Data Science
Explain SecurityContext and SecurityContext Holder in Spring security.,Data Science
What do you mean by session management in Spring Security?,General
What is SpEL (Spring Expression Language)?,General
Name security annotations that are allowed to use SpEL.,General
Explain what is AuthenticationManager in Spring security.,Data Science
Explain what is ProviderManager in Spring security.,Data Science
What is JWT?,General
What is Spring Security Filter Chain?,Data Science
Explain how the security filter chain works.,Data Science
Name some predefined filters used in spring security and write their functions.,General
What do you mean by principal in Spring security?,General
Can you explain what is DelegatingFilterProxy in spring security?,Data Science
Can you explain what is FilterChainProxy in spring security?,Data Science
What is the intercept-url pattern and why do we need it?,General
"Does order matter in the intercept-url pattern? If yes, then in which order should we write it?",General
State the difference between ROLE_USER and ROLE_ANONYMOUS in a spring intercept-url configuration.,General
State the difference between @PreAuthorize and @Secured in Spring security.,General
State the difference between @Secured and @RolesAllowed.,General
What is the lifecycle of a Quality Assurance Process?,General
Differentiate between Quality Assurance and Testing.,Testing
Differentiate between Test Plan and Test Strategy.,General
What do you mean by build and release in the context of quality assurance? Differentiate between them.,General
What do you understand about bug leakage and bug release?,General
What do you understand about Traceability Matrix (TM) in the context of quality assurance?,General
What do you understand about defect leakage ratio in the context of quality assurance?,General
Differentiate between Quality Assurance (QA) and Quality Control (QC).,Testing
What do you mean by monkey testing in the context of quality assurance?,Testing
What do you mean by gorilla testing in the context of quality assurance?,Testing
Differentiate between gorilla testing and monkey testing.,Testing
Explain what is a testware in the context of quality assurance.,Data Science
What do you understand about data driven testing?,Testing
How would you ensure that your testing is thorough and comprehensive?,Testing
What are the various artifacts to which you refer when writing test cases?,General
What do you mean by a test case? What are some good practices for writing test cases?,General
What do you understand about regression testing? Which test cases should be selected for regression testing?,Testing
Explain risk in the context of quality assurance. What are the five dimensions of risk?,Data Science
What do you understand about severity and priority of a defect in the context of quality assurance? Differentiate between them.,General
What do you mean by quality audit in the context of quality assurance?,General
How do you figure out how much testing each piece of software requires in the context of Quality Assurance?,Testing
Differentiate between load testing and stress testing.,Testing
Differentiate between functional and non functional testing.,Testing
What do you understand by black box and white box testing? Differentiate between them.,Testing
What do you understand about bug/ defect triage in the context of quality assurance?,General
What do you understand about stubs and drivers? Differentiate between them.,General
What is React?,JavaScript
What are the advantages of using React?,JavaScript
What are the limitations of React?,JavaScript
What is useState() in React?,JavaScript
What are keys in React?,JavaScript
What is JSX?,General
What are the differences between functional and class components?,General
What is the virtual DOM? How does react use the virtual DOM to render the UI?,JavaScript
What are the differences between controlled and uncontrolled components?,General
What are props in React?,JavaScript
Explain React state and props.,Data Science
Explain about types of side effects in React component.,Data Science
What is prop drilling in React?,JavaScript
What are error boundaries?,General
What is React Hooks?,JavaScript
Explain React Hooks.,Data Science
What are the rules that must be followed while using React Hooks?,JavaScript
What is the use of useEffect React Hooks?,JavaScript
Why do React Hooks make use of refs?,JavaScript
What are Custom Hooks?,General
How to perform automatic redirect after login?,General
How to pass data between sibling components using React router?,JavaScript
How to re-render the view when the browser is resized?,General
How to create a switching component for displaying different pages?,General
Explain how to create a simple React Hooks example program.,Data Science
Explain conditional rendering in React.,Data Science
Can React Hook replaces Redux?,JavaScript
What is React Router?,JavaScript
Do Hooks cover all the functionalities provided by the classes?,General
How does the performance of using Hooks will differ in comparison with the classes?,General
Differentiate React Hooks vs Classes.,JavaScript
Explain about types of Hooks in React.,Data Science
Does React Hook work with static typing?,JavaScript
What are the lifecycle methods of React?,JavaScript
What are the different phases of the component lifecycle?,General
What are Higher Order Components?,General
How to pass data between react components?,JavaScript
Name a few techniques to optimize React app performance.,JavaScript
What are the different ways to style a React component?,JavaScript
How to prevent re-renders in React?,JavaScript
Explain Strict Mode in React.,Data Science
Differentiate between Software Development Engineer in Test (SDET) and Manual Tester.,Testing
What do you understand about beta testing? What are the different types of beta testing?,Testing
What do you understand about alpha testing? What are its objectives?,Testing
What do you understand about severity and priority in the context of software testing? Differentiate between them.,Testing
What are the roles and responsibilities of a Software Development Engineer in Test (SDET)?,Testing
What are the do’s and don'ts for a good bug report?,General
What are the elements of a bug report?,General
What is a bug report in the context of software testing?,Testing
What do you understand about code inspection in the context of software testing? What are its advantages?,Testing
What do you understand about ad-hoc testing?,Testing
What do you understand about Risk based testing?,Testing
What do you understand about white box testing and black box testing? Differentiate between them.,Testing
Differentiate between walkthrough and inspection.,General
What do you understand about a test script? Differentiate between test case and test script.,General
What do you understand about fuzz testing? What are the types of bugs detected by fuzz testing?,Testing
Given the urgency with which a crucial hotfix must be deployed - What kind of testing technique would you use if you were in charge of the project?,Testing
Would you forego thorough testing in order to release a product quickly?,Testing
How would you go about creating an Automation Strategy for a product that doesn't have any automation tests?,General
"What is Equivalence Partitioning, and how does it work? Use an example to demonstrate your point.",General
Explain some expert opinions on how a tester can determine whether a product is ready to be used in a live environment.,Data Science
What do you understand about performance testing and load testing? Differentiate between them.,Testing
Mention some of the software testing tools used in the industry and their key features.,Testing
Differentiate between Alpha testing and Beta testing.,Testing
"Determine whether there is a triplet in the array whose total equals the given value, given an array and a value. If a triplet of this type exists in the array, print it and return true. If not, return false.",General
Write a program to print the factorial of a given input number.,General
"Write a programme to check whether the pairs and ordering of """", """", ""("", "")"", ""["", ""]"" in the expression string expression are balanced or not.",Data Science
Write a program that reverses a given input number.,General
"Swap the values of two variables, x and y, without needing a third variable.",General
Briefly explain what is PowerShell,Data Science
Explain briefly what are Help and comments in PowerShell.,Data Science
What are language constructs?,General
Is Windows PowerShell similar to Command Prompt?,DevOps
Mention the types of Powershell Scopes.,DevOps
Explain the difference between CIM (Common Information Model) vs WMI (Windows Management Instrumentation).,Data Science
Distinguish between the notion of WMI between old and new ideas.,General
Explain how would you place a registry value with PowerShell?,Data Science
Mention the two important differences between Bash and PowerShell?,DevOps
Why should developers use PowerShell?,DevOps
What are PowerShell modules?,DevOps
Define PowerShell Integrated Scripting Environment (ISE).,DevOps
What are the key PowerShell features?,DevOps
What are cmdlets?,General
What does PowerShell do?,DevOps
Define variables in PowerShell.,DevOps
Explain PowerShell’s comparison operators?,Data Science
What is pipeline in PowerShell?,DevOps
Tell about PowerShell’s Get-ServiceStatus function?,DevOps
Describe what is the benefit of Array in PowerShell?,DevOps
What is the benefit of the hashtable in PowerShell?,DevOps
What is your take on Variable Interpolation?,General
Describe what is Powershell Get-command?,DevOps
Do you make PowerShell scripts to deploy components in SharePoint?,DevOps
Why is scripting debugging important?,General
Describe what is Powershell Pipeline used for?,DevOps
Describe the various types of execution policies in PowerShell?,DevOps
Explain the importance of PowerShell brackets?,Data Science
What are Automatic variables?,General
"Explain what is a ""while loop"" in PowerShell?",Data Science
What is a NoSQL database?,SQL
